ranking_number,movie_title, year, time_stamp
1,Glass Onion: A Knives Out Mystery,2022,04.01.2023
2,Avatar: The Way of Water,2022,04.01.2023
3,Knives Out,2019,04.01.2023
4,Babylon,2022,04.01.2023
5,Avatar,2009,04.01.2023
6,The Banshees of Inisherin,2022,04.01.2023
7,A Christmas Story,1983,04.01.2023
8,Roald Dahl's Matilda the Musical,2022,04.01.2023
9,Violent Night,2022,04.01.2023
10,Top Gun: Maverick,2022,04.01.2023
11,Bullet Train,2022,04.01.2023
12,Love Actually,2003,04.01.2023
13,A Christmas Story Christmas,2022,04.01.2023
14,Strange World,2022,04.01.2023
15,Home Alone,1990,04.01.2023
16,It's a Wonderful Life,1946,04.01.2023
17,National Lampoon's Christmas Vacation,1989,04.01.2023
18,Guillermo del Toro's Pinocchio,2022,04.01.2023
19,White Noise,2022,04.01.2023
20,The Fabelmans,2022,04.01.2023
21,Spirited,2022,04.01.2023
22,Puss in Boots: The Last Wish,2022,04.01.2023
23,Everything Everywhere All at Once,2022,04.01.2023
24,Knock at the Cabin,2023,04.01.2023
25,The Whale,2022,04.01.2023
26,Amsterdam,2022,04.01.2023
27,A Man Called Otto,2022,04.01.2023
28,Black Adam,2022,04.01.2023
29,Top Gun,1986,04.01.2023
30,X,2022,04.01.2023
31,The Invitation,2022,04.01.2023
32,Die Hard,1988,04.01.2023
33,How the Grinch Stole Christmas,2000,04.01.2023
34,The Menu,2022,04.01.2023
35,M3GAN,2022,04.01.2023
36,Oppenheimer,2023,04.01.2023
37,White Christmas,1954,04.01.2023
38,Elf,2003,04.01.2023
39,Triangle of Sadness,2022,04.01.2023
40,Whitney Houston: I Wanna Dance with Somebody,2022,04.01.2023
41,Home Alone 2: Lost in New York,1992,04.01.2023
42,Black Panther: Wakanda Forever,2022,04.01.2023
43,The Boy, the Mole, the Fox and the Horse,2022,04.01.2023
44,The Batman,2022,04.01.2023
45,Barbarian,2022,04.01.2023
46,Don't Worry Darling,2022,04.01.2023
47,Bones and All,2022,04.01.2023
48,The Polar Express,2004,04.01.2023
49,Willow,1988,04.01.2023
50,Matilda,1996,04.01.2023
51,Smile,2022,04.01.2023
52,Scrooged,1988,04.01.2023
53,Nope,2022,04.01.2023
54,The Holiday,2006,04.01.2023
55,The Northman,2022,04.01.2023
56,Harry Potter and the Sorcerer's Stone,2001,04.01.2023
57,Aftersun,2022,04.01.2023
58,All Quiet on the Western Front,2022,04.01.2023
59,The Godfather,1972,04.01.2023
60,Klaus,2019,04.01.2023
61,Barbie,2023,04.01.2023
62,The Santa Clause,1994,04.01.2023
63,Tár,2022,04.01.2023
64,The Addams Family,1991,04.01.2023
65,The Grinch,2018,04.01.2023
66,Cirkus,2022,04.01.2023
67,The Pale Blue Eye,2022,04.01.2023
68,Where the Crawdads Sing,2022,04.01.2023
69,Emancipation,2022,04.01.2023
70,Ticket to Paradise,2022,04.01.2023
71,Miracle on 34th Street,1994,04.01.2023
72,Death on the Nile,2022,04.01.2023
73,Elvis,2022,04.01.2023
